N,degree,beta,k,h,success_rate,avg_overhead,min_overhead,q1_overhead,median_overhead,q3_overhead,max_overhead,avg_latency,min_latency,q1_latency,median_latency,q3_latency,max_latency,total_overhead
500000,40,0.1,40,200,0.43,5981.77,59,3158.75,8000.0,8000.0,8000,83.16279069767442,2,31.0,72.0,131.5,199,
500000,40,0.1,40,300,0.63,8043.37,559,3987.25,9052.5,12000.0,12000,143.52380952380952,14,87.0,126.0,218.0,289,
500000,40,0.1,40,400,0.78,7976.14,142,3231.5,6771.0,13861.0,16000,143.37179487179486,4,66.0,126.0,205.75,377,
500000,40,0.1,40,500,0.74,10981.9,331,4040.0,10917.0,20000.0,20000,195.7972972972973,9,59.25,163.5,311.75,480,
500000,40,0.1,40,600,0.9,11897.01,263,5587.0,10445.0,18312.75,24000,264.24444444444447,7,124.5,236.0,419.0,596,
500000,40,0.1,40,700,0.89,10670.39,42,3344.25,8885.0,15410.75,28000,213.76404494382024,2,77.0,194.0,345.0,625,
500000,40,0.1,40,800,0.91,12469.39,247,4288.5,9684.0,19473.25,32000,263.9120879120879,7,101.0,205.0,386.5,790,
500000,40,0.1,50,100,0.36,4006.56,127,2847.0,5000.0,5000.0,5000,45.333333333333336,3,23.25,43.0,65.25,99,
500000,40,0.1,50,200,0.59,6650.89,57,3482.0,7513.5,10000.0,10000,87.01694915254237,2,38.5,78.0,139.0,193,
500000,40,0.1,50,300,0.75,9052.13,110,4379.5,9221.5,14799.0,15000,141.89333333333335,3,68.5,132.0,212.0,295,
500000,40,0.1,50,400,0.78,9879.37,497,3128.5,7690.0,18795.5,20000,140.94871794871796,10,55.0,98.0,219.0,400,
500000,40,0.1,50,500,0.85,11140.07,172,4085.75,8974.0,18663.5,25000,174.38823529411764,4,66.0,148.0,246.0,475,
500000,40,0.1,50,600,0.93,11758.27,601,4186.5,9679.0,16359.75,30000,208.1720430107527,13,71.0,179.0,299.0,591,
500000,40,0.1,50,700,0.9,10899.01,174,2183.5,5767.5,16781.25,35000,164.87777777777777,4,41.0,101.5,253.5,642,
500000,40,0.1,50,800,0.96,13722.55,189,4129.25,10664.0,21098.5,40000,253.05208333333334,4,79.0,210.0,400.5,768,
500000,40,0.1,60,100,0.43,4644.64,175,3299.75,6000.0,6000.0,6000,47.906976744186046,3,27.5,49.0,67.0,100,
500000,40,0.1,60,200,0.67,7552.5,99,4227.5,7937.0,12000.0,12000,89.83582089552239,2,47.0,79.0,133.0,198,
500000,40,0.1,60,300,0.77,9839.79,132,4187.0,8665.5,17452.5,18000,123.88311688311688,3,43.0,110.0,187.0,299,
500000,40,0.1,60,400,0.91,9060.93,117,2877.0,6894.0,14007.5,24000,126.93406593406593,2,40.5,106.0,188.0,374,
500000,40,0.1,60,500,0.84,13095.81,61,4129.75,10538.0,21015.25,30000,165.11904761904762,2,60.25,117.0,257.75,472,
500000,40,0.1,60,600,0.94,13860.4,382,5570.0,10951.5,20642.75,36000,207.96808510638297,7,87.25,173.5,312.0,555,
500000,40,0.1,60,700,0.97,13265.93,244,4658.5,9485.0,18850.5,42000,206.8041237113402,5,77.0,156.0,289.0,670,
500000,40,0.1,60,800,1.0,12869.28,185,5189.75,11888.0,18182.0,46424,214.96,4,87.0,198.5,303.75,774,
500000,40,0.1,70,100,0.41,5736.11,481,4808.5,7000.0,7000.0,7000,56.41463414634146,7,35.0,59.0,74.0,100,
500000,40,0.1,70,200,0.66,8523.14,479,3111.5,8554.0,14000.0,14000,81.93939393939394,7,30.25,72.5,118.75,198,
500000,40,0.1,70,300,0.79,10783.96,162,3307.5,10255.0,19574.75,21000,115.79746835443038,3,35.5,112.0,176.5,290,
500000,40,0.1,70,400,0.84,11891.96,118,2457.5,9837.0,18338.0,28000,126.51190476190476,2,28.75,98.5,209.75,386,
500000,40,0.1,70,500,0.92,13631.57,396,3598.25,10466.5,23017.75,35000,168.65217391304347,6,50.25,119.0,253.25,467,
500000,40,0.1,70,600,0.96,10569.37,141,2857.75,6768.5,14798.0,42000,132.82291666666666,3,39.75,93.5,192.5,504,
500000,40,0.1,70,700,1.0,11166.83,88,3912.5,7668.0,14548.25,44916,160.02,2,56.25,110.0,208.25,642,
500000,40,0.1,70,800,1.0,12456.37,166,4991.75,9876.5,17622.75,40358,178.48,3,71.5,141.5,252.0,577,
500000,40,0.1,80,100,0.35,6343.23,173,4446.25,8000.0,8000.0,8000,41.22857142857143,3,20.0,34.0,57.5,98,
500000,40,0.1,80,200,0.76,9737.41,244,4585.0,9603.0,15621.5,16000,97.46052631578948,4,47.0,87.5,162.0,199,
500000,40,0.1,80,300,0.89,11118.38,232,4881.75,10454.0,16139.5,24000,119.6067415730337,3,54.0,122.0,179.0,296,
500000,40,0.1,80,400,0.92,12523.43,338,4332.75,9718.5,18679.25,32000,135.8695652173913,5,50.5,112.5,210.75,379,
500000,40,0.1,80,500,0.92,13572.94,97,4320.75,9540.0,19953.75,40000,141.44565217391303,2,52.0,108.5,190.5,472,
500000,40,0.1,80,600,0.99,14711.72,246,4729.25,10500.0,21712.0,48000,180.1818181818182,4,59.5,130.0,264.0,570,
500000,40,0.1,80,700,0.97,11929.97,87,3435.25,7047.0,15405.5,56000,132.58762886597938,2,43.0,88.0,188.0,591,
500000,40,0.1,80,800,1.0,13692.57,392,4065.0,9974.5,18537.75,62294,171.66,5,51.5,125.0,232.25,779,
500000,40,0.5,20,100,0.15,1889.95,656,2000.0,2000.0,2000.0,2000,63.8,33,52.0,62.0,77.5,99,
500000,40,0.5,20,200,0.26,3452.63,61,3620.0,4000.0,4000.0,4000,95.26923076923077,4,51.25,103.0,126.75,185,
500000,40,0.5,20,300,0.36,4860.0,193,4051.0,6000.0,6000.0,6000,142.13888888888889,10,54.75,141.0,220.75,298,
500000,40,0.5,20,400,0.46,5921.31,128,4002.5,8000.0,8000.0,8000,174.52173913043478,7,92.75,186.5,231.25,380,
500000,40,0.5,20,500,0.56,6753.76,98,3539.5,8499.5,10000.0,10000,210.625,5,107.0,187.5,306.5,476,
500000,40,0.5,20,600,0.56,8474.04,84,4946.0,10594.5,12000.0,12000,285.69642857142856,5,151.0,281.5,426.5,584,
500000,40,0.5,20,700,0.67,7996.37,32,2811.5,7256.0,14000.0,14000,252.38805970149255,2,83.0,222.0,363.5,660,
500000,40,0.5,20,800,0.74,9100.67,42,3711.0,9611.0,16000.0,16000,334.2567567567568,3,123.25,314.5,509.75,785,
500000,40,0.5,30,100,0.19,2734.52,176,3000.0,3000.0,3000.0,3000,53.78947368421053,6,35.0,47.0,78.5,99,
500000,40,0.5,30,200,0.41,4657.76,46,3313.25,6000.0,6000.0,6000,91.36585365853658,2,49.0,94.0,128.0,200,
500000,40,0.5,30,300,0.6,5751.78,38,2526.25,6816.5,9000.0,9000,120.03333333333333,2,54.25,96.0,198.0,300,
500000,40,0.5,30,400,0.64,7776.63,1,3483.0,9057.5,12000.0,12000,180.53125,1,93.0,173.0,265.5,397,
500000,40,0.5,30,500,0.71,8743.14,302,4050.75,7966.0,15000.0,15000,206.77464788732394,11,121.0,171.0,283.5,491,
500000,40,0.5,30,600,0.73,9613.62,190,3137.5,10003.5,18000.0,18000,217.54794520547946,7,75.0,158.0,374.0,600,
500000,40,0.5,30,700,0.86,9949.6,72,3532.5,8321.5,15850.25,21000,272.2325581395349,3,93.5,225.0,456.75,686,
500000,40,0.5,30,800,0.84,11349.81,104,3972.0,9909.0,18550.75,24000,298.48809523809524,4,118.0,273.0,429.0,768,
500000,40,0.5,40,100,0.22,3552.62,104,4000.0,4000.0,4000.0,4000,49.63636363636363,3,21.5,50.0,76.25,95,
500000,40,0.5,40,200,0.47,6224.13,351,4502.25,8000.0,8000.0,8000,106.0,9,63.5,103.0,155.0,197,
500000,40,0.5,40,300,0.55,8216.15,331,3569.5,10308.5,12000.0,12000,128.4909090909091,9,59.5,103.0,191.5,292,
500000,40,0.5,40,400,0.73,8740.57,78,4053.5,7781.0,16000.0,16000,151.86301369863014,2,79.0,124.0,213.0,393,
500000,40,0.5,40,500,0.76,10813.39,132,3402.5,9961.0,19804.0,20000,198.31578947368422,4,59.75,176.5,300.25,498,
500000,40,0.5,40,600,0.83,10668.8,329,3497.0,7751.0,17623.5,24000,198.97590361445782,9,80.0,160.0,269.5,588,
500000,40,0.5,40,700,0.86,12008.71,300,4146.0,9452.5,19325.25,28000,235.59302325581396,8,100.25,193.0,352.5,666,
500000,40,0.5,40,800,0.91,12015.13,354,3396.0,9598.5,18060.75,32000,251.47252747252747,9,79.5,207.0,397.0,787,
500000,40,0.5,50,100,0.29,4172.14,130,3734.75,5000.0,5000.0,5000,43.37931034482759,3,21.0,41.0,66.0,98,
500000,40,0.5,50,200,0.42,7593.91,52,4664.25,10000.0,10000.0,10000,85.97619047619048,2,40.5,76.5,129.0,198,
500000,40,0.5,50,300,0.69,9651.55,327,4596.0,10807.0,15000.0,15000,145.47826086956522,7,56.0,149.0,230.0,299,
500000,40,0.5,50,400,0.73,11278.65,164,4518.5,10943.0,20000.0,20000,161.57534246575344,4,66.0,139.0,266.0,399,
500000,40,0.5,50,500,0.85,10874.77,160,3248.0,8568.5,18546.25,25000,168.16470588235293,4,58.0,114.0,262.0,473,
500000,40,0.5,50,600,0.91,11189.27,224,4215.25,8147.5,16267.75,30000,187.02197802197801,5,78.5,145.0,263.5,599,
500000,40,0.5,50,700,0.95,11350.53,366,3255.5,7592.5,17226.0,35000,202.6421052631579,8,64.0,143.0,329.5,673,
500000,40,0.5,50,800,0.95,12126.09,203,3927.0,8018.0,17879.75,40000,213.67368421052632,5,78.0,155.0,308.5,737,
500000,40,0.5,60,100,0.36,4949.54,259,4498.0,6000.0,6000.0,6000,51.888888888888886,5,25.5,52.0,76.75,97,
500000,40,0.5,60,200,0.57,8062.51,90,4102.5,9645.0,12000.0,12000,85.35087719298245,2,47.0,80.0,119.0,195,
500000,40,0.5,60,300,0.72,10069.94,176,3826.75,9585.0,18000.0,18000,116.91666666666667,3,33.75,105.0,173.0,287,
500000,40,0.5,60,400,0.84,11240.89,1124,3972.0,8826.5,18962.75,24000,147.35714285714286,19,63.75,116.0,214.5,390,
500000,40,0.5,60,500,0.84,14618.25,141,6754.5,12526.0,23416.5,30000,195.23809523809524,3,85.25,174.5,280.25,479,
