system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,226,262144,77.216,116.387039
our+AF8-system,50,227,262144,80.734666,104.421303
our+AF8-system,50,228,262144,82.369666,78.613004
our+AF8-system,50,229,262144,133.904333,110.144799
our+AF8-system,50,230,262144,125.581333,107.099722
our+AF8-system,50,231,262144,130.115,112.83792
our+AF8-system,50,232,262144,137.741333,76.071138
our+AF8-system,50,233,262144,100.140333,89.109081
our+AF8-system,50,234,262144,103.589666,90.386676
our+AF8-system,50,235,262144,124.26,94.986229
our+AF8-system,50,236,262144,145.192333,106.259864
our+AF8-system,50,237,262144,130.889333,76.154659
our+AF8-system,50,238,262144,117.078333,105.086945
our+AF8-system,50,239,262144,115.970666,94.313928
our+AF8-system,50,240,262144,152.304,96.61371
our+AF8-system,50,241,262144,119.625666,102.72912
our+AF8-system,50,242,262144,120.909,95.038655
our+AF8-system,50,243,262144,166.888,94.130728
our+AF8-system,50,244,262144,166.662,81.592431
our+AF8-system,50,245,262144,146.443333,101.91505
our+AF8-system,50,246,262144,157.09,89.121739
our+AF8-system,50,247,262144,146.115666,101.544476
our+AF8-system,50,248,262144,151.405666,80.419776
our+AF8-system,50,249,262144,107.516333,84.213258
our+AF8-system,50,250,262144,81.369666,85.968848
our+AF8-system,50,251,262144,131.371333,84.350566
our+AF8-system,50,252,262144,143.237,81.786565
our+AF8-system,50,253,262144,99.739666,79.205419
our+AF8-system,50,254,262144,94.692333,84.702739
our+AF8-system,50,255,262144,102.077333,77.737154
our+AF8-system,50,256,262144,85.461666,64.932825
our+AF8-system,50,257,262144,104.873,79.65986
our+AF8-system,50,258,262144,169.045666,74.864134
our+AF8-system,50,259,262144,225.694666,81.451642
our+AF8-system,50,260,262144,116.760666,66.757249
our+AF8-system,50,261,262144,128.233,112.48546
our+AF8-system,50,262,262144,194.658666,99.459937
our+AF8-system,50,263,262144,213.808333,123.902177
our+AF8-system,50,264,262144,122.128333,112.219426
our+AF8-system,50,265,262144,150.546666,114.572443
our+AF8-system,50,266,262144,143.009,108.866924
