system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
swarm,50,197,262144,113.719333,83.722591
swarm,50,198,262144,35.261333,98.019549
swarm,50,199,262144,92.381,61.978342
swarm,50,200,262144,36.122,88.382304
swarm,50,201,262144,60.996,61.976322
swarm,50,202,262144,77.134,95.082232
swarm,50,203,262144,144.826,89.395025
swarm,50,204,262144,61.676,76.908223
swarm,50,205,262144,81.646333,65.301242
swarm,50,206,262144,126.419,67.110292
swarm,50,207,262144,110.9,96.800698
swarm,50,208,262144,80.234666,84.35809
swarm,50,209,262144,83.779666,80.174895
swarm,50,210,262144,218.065333,114.005239
swarm,50,211,262144,34.47,79.451773
swarm,50,212,262144,100.599333,81.281175
swarm,50,213,262144,118.393666,113.524404
swarm,50,214,262144,83.150666,83.731512
swarm,50,215,262144,34.055666,104.065815
swarm,50,216,262144,81.151666,98.975112
swarm,50,217,262144,71.920666,86.253139
swarm,50,218,262144,66.252333,92.276794
swarm,50,219,262144,59.998666,74.30267
swarm,50,220,262144,263.06,69.852028
swarm,50,221,262144,133.657666,132.438692
swarm,50,222,262144,127.597666,67.438651
swarm,50,223,262144,17.045,93.704986
swarm,50,224,262144,232.752,97.007495
swarm,50,225,262144,135.811333,94.543245
swarm,50,226,262144,37.628,1061.833326
swarm,50,227,262144,37.977,98.048101
swarm,50,228,262144,82.125333,90.677606
swarm,50,229,262144,180.020666,94.617974
swarm,50,230,262144,66.753666,105.731483
swarm,50,231,262144,92.241333,72.240137
swarm,50,232,262144,51.973333,81.874416
swarm,50,233,262144,64.905,399.573916
swarm,50,234,262144,24.632666,85.627833
swarm,50,235,262144,90.665333,85.747718
swarm,50,236,262144,213.290666,102.652914
swarm,50,237,262144,152.732,88.857052
swarm,50,238,262144,257.37,92.905451
swarm,50,239,262144,108.456333,116.640045
swarm,50,240,262144,428.623333,76.672541
swarm,50,241,262144,109.237333,79.304586
swarm,50,242,262144,89.661333,89.319137
swarm,50,243,262144,123.514333,95.466442
swarm,50,244,262144,57.284666,87.479852
swarm,50,245,262144,43.787333,95.317656
swarm,50,246,262144,112.06,200.165565
swarm,50,247,262144,229.175333,78.83462
swarm,50,248,262144,40.715,90.462062
swarm,50,249,262144,41.805333,67.678626
swarm,50,250,262144,168.227666,93.816439
swarm,50,251,262144,95.974,89.03592
swarm,50,252,262144,413.535666,76.456153
swarm,50,253,262144,48.044333,150.980969
swarm,50,254,262144,98.773666,131.192243
swarm,50,255,262144,166.080333,175.695601
swarm,50,256,262144,274.574,80.071404
swarm,50,257,262144,72.063,88.539373
swarm,50,258,262144,347.017,87.875143
swarm,50,259,262144,72.233,90.566368
swarm,50,260,262144,139.639333,1249.731061
swarm,50,261,262144,15.902666,89.706159
swarm,50,262,262144,78.663666,90.432066
swarm,50,263,262144,67.064,86.341093
swarm,50,264,262144,106.053,94.248167
swarm,50,265,262144,36.515666,74.093584
swarm,50,266,262144,265.831666,76.06425
swarm,50,267,262144,22.765,73.405733
swarm,50,268,262144,528.029333,99.754737
swarm,50,269,262144,97.169,78.801438
swarm,50,270,262144,258.769333,95.260022
swarm,50,271,262144,95.552666,96.152607
swarm,50,272,262144,47.456333,93.088059
swarm,50,273,262144,78.230333,157.341645
swarm,50,274,262144,92.152666,75.781335
swarm,50,275,262144,92.775333,81.502014
swarm,50,276,262144,54.057666,384.922639
swarm,50,277,262144,92.979,88.413506
swarm,50,278,262144,124.366333,87.221933
swarm,50,279,262144,61.218666,89.821182
swarm,50,280,262144,130.189666,92.271937
swarm,50,281,262144,1323.163333,107.228267
swarm,50,282,262144,101.292333,75.489281
swarm,50,283,262144,228.775333,79.058007
swarm,50,284,262144,66.663666,82.056001
swarm,50,285,262144,86.885666,67.58111
swarm,50,286,262144,41.959666,61.075699
swarm,50,287,262144,145.164666,271.049597
swarm,50,288,262144,307.236666,175.345674
swarm,50,289,262144,119.421,275.514136
swarm,50,290,262144,127.572666,89.893546
swarm,50,291,262144,295.807,205.726117
swarm,50,292,262144,27.202666,252.751574
swarm,50,293,262144,105.697333,145.888503
swarm,50,294,262144,60.037333,109.481934
swarm,50,295,262144,173.94,98.379317
swarm,50,296,262144,140.416666,117.555851
swarm,50,297,262144,170.761333,97.362471
swarm,50,298,262144,96.023333,155.999899
swarm,50,299,262144,125.514333,104.602112
swarm,50,300,262144,31.970333,148.777868
swarm,50,301,262144,99.569666,1035.186662
swarm,50,302,262144,23.544333,123.2697
swarm,50,303,262144,55.742666,110.220266
swarm,50,304,262144,15.229,127.664724
swarm,50,305,262144,208.448,83.114165
swarm,50,306,262144,102.238333,108.598561
swarm,50,307,262144,138.063,105.010792
swarm,50,308,262144,170.492,200.683811
swarm,50,309,262144,62.206333,93.261128
swarm,50,310,262144,18.068333,104.643859
swarm,50,311,262144,478.754,170.361026
swarm,50,312,262144,222.110666,123.961182
swarm,50,313,262144,248.390333,1227.508701
swarm,50,314,262144,184.160666,171.700025
swarm,50,315,262144,43.826,1161.538017
swarm,50,316,262144,171.162,116.393678
swarm,50,317,262144,19.313666,127.382251
swarm,50,318,262144,40.087333,764.499132
swarm,50,319,262144,30.767333,150.589631
swarm,50,320,262144,73.178333,122.312038
swarm,50,321,262144,45.896333,125.721762
swarm,50,322,262144,84.511666,99.470904
swarm,50,323,262144,282.536333,142.822361
swarm,50,324,262144,53.779,119.068094
swarm,50,325,262144,111.457333,110.738392
swarm,50,326,262144,52.705666,175.934011
swarm,50,327,262144,262.167333,121.282968
swarm,50,328,262144,82.465,111.94915
swarm,50,329,262144,23.344666,229.742587
swarm,50,330,262144,469.311,171.429932
swarm,50,331,262144,54.502,116.462585
swarm,50,332,262144,53.171,107.998842
swarm,50,333,262144,128.371,72.518465
swarm,50,334,262144,431.010333,97.983009
swarm,50,335,262144,48.407,109.90652
swarm,50,336,262144,78.934,227.875815
swarm,50,337,262144,27.294,115.502394
swarm,50,338,262144,162.768333,166.358875
swarm,50,339,262144,39.513,239.059761
swarm,50,340,262144,146.588666,111.198577
swarm,50,341,262144,128.899,109.394035
swarm,50,342,262144,239.863,92.933159
swarm,50,343,262144,60.321,141.258645
swarm,50,344,262144,70.261,98.338841
swarm,50,345,262144,59.731666,106.308889
swarm,50,346,262144,57.253666,90.427157
swarm,50,347,262144,43.745333,166.828892
swarm,50,348,262144,26.226,977.559854
swarm,50,349,262144,198.790333,118.058347
swarm,50,350,262144,111.168,146.32647
swarm,50,351,262144,247.392333,135.776303
swarm,50,352,262144,76.322333,219.289189
swarm,50,353,262144,170.329333,103.378845
swarm,50,354,262144,239.367666,119.097833
swarm,50,355,262144,247.732666,97.020617
swarm,50,356,262144,20.39,91.889366
swarm,50,357,262144,369.042,146.154384
swarm,50,358,262144,242.18,252.753165
swarm,50,359,262144,256.914666,92.905065
swarm,50,360,262144,63.789,206.107734
swarm,50,361,262144,40.941,182.295539
swarm,50,362,262144,264.003666,92.26541
swarm,50,363,262144,194.198666,90.710609
swarm,50,364,262144,92.207333,197.698074
